topic,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Generative Adversarial Networks and Image Synthesis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hate Speech and Cyberbullying Detection,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Image Enhancement Techniques,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Image and Video Quality Assessment,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Imbalanced Data Classification Techniques,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Information Architecture and Usability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Intelligent Tutoring Systems and Adaptive Learning,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Intuitionistic Fuzzy Systems Applications,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IoT and Edge/Fog Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Metaheuristic Optimization Algorithms Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Mobile Ad Hoc Networks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mobile Agent-Based Network Management,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mobile Learning in Education,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Model-Driven Software Engineering Techniques,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Multi-Agent Systems and Negotiation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Neural Networks and Reservoir Computing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Nonlinear Dynamics and Pattern Formation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peer-to-Peer Network Technologies,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petri Nets in System Modeling,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0
Physical Unclonable Functions (PUFs) and Hardware Security,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
QoS-Aware Web Services Composition and Semantic Matching,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Quantum Computing Algorithms and Architecture,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,2
Quantum Information and Cryptography,8,1,3,0,2,1,0,1,3,4,0,2,0,1,1,2,1,3,0
Quantum-Dot Cellular Automata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reinforcement Learning in Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Research Data Management Practices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Rough Sets and Fuzzy Logic,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,4,0
Security in Wireless Sensor Networks,0,0,0,1,0,0,2,4,0,2,1,0,0,0,0,0,0,0,0
Software Reliability and Analysis Research,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spam and Phishing Detection,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Speech and dialogue systems,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spreadsheets and End-User Computing,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Topic Modeling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Topological and Geometric Data Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Video Analysis and Summarization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Visual Attention and Saliency Detection,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
Web Application Security Vulnerabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Wireless Signal Modulation Classification,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
semigroups and automata theory,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,0,0,0,0
